,title,author_last,author_first
435,kristy and the missing fortune,martin, ann m 
436,the complete tales poems of winnie the pooh,milne, a a 
437,claudia s big party,martin, ann m 
438,stacey s ex best friend ,martin, ann m 
439,mallory and the mystery diary ,martin, ann m 
440,the secret of mirror bay,keene, carolyn
441,kristy and the snobs ,martin, ann m 
442,karen s accident,martin, ann m 
443,the clue in the jewel box,keene, carolyn
444,the ghost at dawn s house,martin, ann m 
445,jessi s secret language,martin, ann m 
446,mary anne s bad luck mystery ,martin, ann m 
447,stacey and the missing ring,martin, ann m 
448,dawn and the halloween mystery,martin, ann m 
449,karen s little sister,martin, ann m 
450,boy crazy stacey ,martin, ann m 
451,kristy for president,martin, ann m 
452,mallory on strike,martin, ann m 
453,horse stories,pullein thompson, christine
454,the second decade voyages,hoobler, dorothy 
455,the s directions,hoobler, dorothy and tom 
456,the boys who challenged hitler knud pedersen and the churchill club,hoose, phillip m 
457,iwo jima,dunn, joeming w 
458,the story of d day june ,bliven, bruce
459,world war i,adams, simon
460,the bombing of hiroshima,malam, john
461,the bombing of pearl harbor,rice, earle 
462,attack on pearl harbor the true story of the day america entered world war ii,tanaka, shelley 
463,the amusement park mystery,warner, gertrude chandler
464,the candy factory mystery,warner, gertrude chandler
465,the soccer mystery,warner, gertrude chandler
466,the summer camp mystery,warner, gertrude chandler
467,the mystery at snowflake inn,warner, gertrude chandler
468,the pizza mystery,warner, gertrude chandler
469,the mystery at the fair,warner, gertrude chandler
470,the mystery of the stolen music,warner, gertrude chandler
471,mountain top mystery ,warner, gertrude chandler
472,mike s mystery ,warner, gertrude chandler
473,the chocolate sundae mystery,warner, gertrude chandler
474,the lighthouse mystery,warner, gertrude chandler
475,the mystery cruise,warner, gertrude chandler
476,the mystery in the snow,warner, gertrude chandler
477,the haunted clock tower mystery,warner, gertrude chandler
478,the hurricane mystery,warner, gertrude chandler
479,the mystery on the train,warner, gertrude chandler
480,the pilgrim village mystery,warner, gertrude chandler
481,concise guide to medications and supplements for the horse,ramey, david w 
482,concise guide to nutrition in the horse,ramey, david w 
483,concise guide to tendon and ligament injuries in the horse,ramey, david w 
484,horse health care a step by step photographic guide to mastering over horsekeeping skills,hill, cherry
485,the mystery of the secret message,warner, gertrude chandler
486,the firehouse mystery,warner, gertrude chandler
487,the camp out mystery,warner, gertrude chandler
488,bus station mystery ,warner, gertrude chandler
489,caboose mystery,warner, gertrude chandler 
490,benny uncovers a mystery ,warner, gertrude chandler
491,houseboat mystery,warner, gertrude chandler
492,philo vance four complete novels,van dine, s s 
493,the mystery bookstore,warner, gertrude chandler
494,the castle mystery,warner, gertrude chandler
495,the mystery on blizzard mountain,warner, gertrude chandler
496,the disappearing staircase mystery,warner, gertrude chandler
497,the old motel mystery,warner, gertrude chandler 
498,snowbound mystery ,warner, gertrude chandler
499,the deserted library mystery,warner, gertrude chandler
500,the mystery of the hidden painting,warner, gertrude chandler 
501,surprise island,warner, gertrude chandler
502,brain,parker, steve 
503,brain trauma,marcovitz, hal 
504,epilepsy,peacock, judith
505,epilepsy,vander hook, sue
506,moments that disappear children living with epilepsy ,bergman, thomas
507,the ragman s son an autobiography,douglas, kirk
508,my stroke of luck,douglas, kirk
509,the world of duke ellington,dance, stanley 
510,been there done that,fisher, eddie 
511,i d love to kiss you conversations with bette davis ,stine, whitney
512,love lucy,ball, lucille
513,children s encyclopedia of american history,king, david c 
514,stone butterfly,doss, james d 
515,the shaman s bones,doss, james d 
516,the shaman laughs,doss, james d 
517,the story teller,coel, margaret
518,the shadow dancer,coel, margaret
519,the ghost walker,coel, margaret
520,killing raven,coel, margaret
521,zeppelins of world war i,cross, wilbur 
522,the f hrer,heiden, konrad
523,never to forget the jews of the holocaust,meltzer, milton
524,death march the survivors of bataan,knox, donald
525, the year of victories,marix evans, martin 
526,the navajo code talkers,paul, doris atkinson 
527,world war ii a photographic history,boyle, david 
528,the woodshed mystery ,warner, gertrude chandler
529,mystery in the sand ,warner, gertrude chandler
530,the mystery of the singing ghost,warner, gertrude chandler
531,the mystery horse,warner, gertrude chandler
532,horse pony care,ransford, sandy 
533,i love horses and ponies,swinney, nicola jane
534,the book of horses and horse care an encyclopedia of horses and a comprehensive guide to horse and pony care,draper, judith 
535,horses the ultimate treasury,woodward, john
536,the horse encyclopedia,hartley edwards, elwyn
537,the mystery of the tiger s eye,warner, gertrude chandler
538,the mystery of the mummy s curse,warner, gertrude chandler
539,the outer space mystery,warner, gertrude chandler
540,the mystery of the lost village,warner, gertrude chandler
541,the great shark mystery,warner, gertrude chandler
542,the mystery of alligator swamp,warner, gertrude chandler
543,cherokee history and culture,birchfield, d l 
544,the cherokee indians,lund, bill
545,the cherokee ,mccall, barbara a 
546,trail of tears the rise and fall of the cherokee nation,ehle, john
547,the story of america a national geographic picture atlas,scott, john anthony
548,unsolved mysteries of american history,aron, paul 
549,the century for young people,armstrong, jennifer
550,slavery from africa to the americas,hatt, christine 
551,the earliest americans ,sattler, helen roney 
552, the year of the new world ,ventura, piero 
553,old names and new places,alotta, robert i 
554,white shell woman a charlie moon mystery,doss, james d 
555,the witch s tongue,doss, james d 
