,Title,Author_First,Author_Last,Num_Checkouts
478,the undertakers daughter, kate,mayfield,24
479,trashy town, andrea griffing,zimmerman,24
480,harry by the sea, gene,zion,24
481,if sharks disappeared, lily,williams,24
482,how do i love you, marion dane,bauer,24
483,fancy nancy and the tooloose tooth, jane,oconnor,24
484,franklin says i love you, paulette,bourgeois,24
485,federico and the wolf, rebecca j,gomez,24
486,the three pigs, david,wiesner,24
487,little blue trucks halloween  a lifttheflap book, alice,schertle,24
488,fire truck, peter,sís,24
489,i am harriet tubman, brad,meltzer,24
490,llama llama holiday drama, anna,dewdney,24
491,maybe you should fly a jet maybe you should be a vet, theo,lesieg,23
492,pete the cat  play ball, james,dean,23
493,dora saves the game long a, quinlan b,lee,23
494,franklins birthday party, sharon,jennings,23
495,i stink, kate,mcmullan,23
496,pea bee  jay wannabees , brian,smith,23
497,olivia the princess, natalie,shaw,23
498,if i built a school, chris,van dusen,23
499,santas new jet, david,biedrzycki,23
500,the mako shark, sara,green,23
501,the birds the bees and the berenstain bears, stan,berenstain,23
502,the lost heir, tui,sutherland,23
503,santas underwear, marty rhodes,figley,23
504,the big book of beasts, yuval,zommer,23
505,shadows and secrets, kieron,gillen,23
506,walt disneys donald duck and the garden, joan,phillips,23
507,hello america, martha day,zschock,23
508,harry the dirty dog, gene,zion,23
509,arthurs thanksgiving, marc tolon,brown,23
510,the berenstain bears get the gimmies, stan,berenstain,23
511,greenlights, matthew,mcconaughey,23
512,fire in the forest, samantha,brooke,23
513,biscuits day at the farm, alyssa satin,capucilli,23
514,biscuit book 12, alyssa satin,capucilli,23
515,curious george feeds the animals, margret and rey,rey,23
516,animal adventures backpack, constanze,von kitzing,23
517,the sweetest spring, apple,jordan,23
518,meet the neighbors, natalie,shaw,23
519,roaring rockets, tony,mitton,22
520,perfect, max,amato,22
521,escape from lucien, kazu,kibuishi,22
522,fancy nancy  our thanksgiving banquet, jane,oconnor,22
523,arthurs valentine, marc tolon,brown,22
524,cooking with cat, dr,seuss,22
525,franklin wants a pet, paulette,bourgeois,22
526,parachutes, kelly,yang,22
527,i love you stinky face, lisa,mccourt,22
528,wow  the popup book of sports, bruce,foster,22
529,race team, dennis r,shealy,22
530,were going on a bear hunt, michael,rosen,22
531,supernova, kazu,kibuishi,22
532,the dinosaur that pooped a planet, tom,fletcher,22
533,frozen, bill,scollon,22
534,fancy nancy puppy party, jane,oconnor,22
535,not quite snow white, ashley,franklin,22
536,up on bob, mary,sullivan,22
537,fly guy and the alienzz, tedd,arnold,22
538,the apprentices quest, erin,hunter,22
539,robins guide to being cooler, meredith,rusu,22
540,the lost continent, tui t,sutherland,22
541,the dark hours, michael,connelly,22
542,kitten construction company  meet the house kittens, john,green,22
543,the lion king, walt,disney,22
544,dork diaries  tales from a notsohappy birthday, rachel renée,russell,22
545,the story of ferdinand, munro,leaf,22
546,i am amelia earhart, brad,meltzer,22
547,the berenstain bears trick or treat, stan,berenstain,22
548,zombie in love, kelly s,dipucchio,22
549,walt disneys mickey mouse and the pet show, joan,phillips,22
550,but not the armadillo, sandra,boynton,22
551,heroes to the rescue, esther,ripley,22
552,21st birthday, james,patterson,22
553,rocks and minerals, tracy,staedter,22
554,pokémon adventures v3, hidenori,kusaka,22
555,noses are not for picking, elizabeth,verdick,22
556,say hello to the snowy animals, ian,whybrow,22
557,dinosaurs before dark, mary pope,osborne,22
558,the nameless ones, john,connolly,22
559,the smart cookie, jory,john,22
560,pokemon adventures v7, hidenori,kusaka,22
561,the golden egg, a j,wood,22
562,pollys pink pajamas, vivian,french,22
563,ponyella, laura joffe,numeroff,22
564,the berenstain bears get in a fight, stan,berenstain,22
565,diary of a wimpy kid  the long haul, jeff,kinney,22
566,a way with wild things, larissa,theule,22
567,the ballad of songbirds and snakes, suzanne,collins,22
568,louis, tom,lichtenheld,22
569,what will grow, jennifer,ward,22
570,bad kitty school daze, nick,bruel,22
571,the berenstain bears are superbears, mike,berenstain,22
572,lucas the littlest lizard, kathy,helidoniotis,22
573,the bad guys in attack of the zittens, aaron,blabey,22
574,happy birthday bad kitty, nick,bruel,22
575,the midnight library, matt,haig,22
576,julias house for lost creatures, ben,hatke,21
577,the berenstain bears please  thank you book, mike,berenstain,21
578,the little bear treasury, else holmelund,minarik,21
579,skippyjon jones class action, judith byron,schachner,21
580,minecraft  the end, catherynne m,valente,21
581,doras lost list short o, quinlan b,lee,21
582,i love tractors trucks diggers and dumpers, sarah,creese,21
583,biscuit and the nest book 8, alyssa satin,capucilli,21
584,a dinosaurs day, ruth,thomson,21
585,the big book of the blue, yuval,zommer,21
586,the moon sees you  me, caleb,burroughs,21
587,daniel goes to school, becky,friedman,21
588,franklins class trip, paulette,bourgeois,21
589,roller coaster, monica,perez,21
590,skippyjon jones  cirque de ole, judith byron,schachner,21
591,diablo mesa, douglas j,preston,21
592,bad kitty gets a bath, nick,bruel,21
593,the berenstain bears sick days, jan,berenstain,21
594,can you guess  animals sounds with the very hungry caterpillar, eric,carle,21
595,run rose run, dolly,parton,21
596,battle of the butts  the science behind animal behinds, jocelyn,rish,21
597,the oceanic whitetip shark, sara,green,21
598,angel cat sugar a new friend, megan e,bryant,21
599,pinkalicious  fairy house, victoria,kann,21
